MARCA	MODELO	AÑO	COLOR	SUCURSAL	PRECIO DE LISTA	PRECIO EN PROMOCIÓN
CHEVROLET	SONIC NB 5P 1.6 MT	2012	BLANCO	Irarrázaval 590	$ 6.490.000	$ 5.890.000
CHEVROLET	CAPTIVA LS 2.4 	2013	PLATA	Irarrázaval 590	$ 7.490.000	$ 6.790.000
CHEVROLET	CAPTIVA II LT FULL 2.4L AWD 6AT 	2010	GRIS OSCURO MET	Gran Avenida 8181	$ 9.590.000	$ 8.690.000
CHEVROLET	SPARK GT HB 1.2 MT LT AC SPORT	2012	ROJO	Irarrázaval 590	$ 4.490.000	$ 4.190.000
KIA	CERATO EX 1.6 AUT	2012	PLATEADO	Irarrázaval 590	$ 4.990.000	$ 4.490.000
MITSUBISHI	OUTLANDER GLX 2,4 AUT	2008	GRIS GRAFITO	Irarrázaval 590	$ 6.690.000	$ 6.190.000
CHEVROLET	OPTRA LS SW 1.6 MT  	2012	PLATEADO PLATA METALICO	Irarrázaval 357	$ 5.390.000	$ 4.890.000
FORD	FOCUS 1.6L	2010	GRIS GRAFITO	Irarrázaval 357	$ 6.190.000	$ 5.590.000
SSANGYONG	ACTYON 4X4	2007	BLANCO	Irarrázaval 357	$ 6.890.000	$ 6.290.000
SAMSUNG	SM7 LE 2,3 AT	2010	GRIS	Irarrázaval 357	$ 7.990.000	$ 7.190.000
NISSAN	X TRAIL 4X4 2,5	2008	PLATEDO PLATA	Irarrázaval 357	$ 6.890.000	$ 6.290.000
TOYOTA	AURIS 1.6	2007	BLANCO	Gran Avenida 8181	$ 5.590.000	$ 5.190.000
